day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Wednesday,Night,andi pangerang pettarani,rappocini,TK,adult,LK,R2,-5.1565899,119.4369069,7
Monday,Night,metro tanjung bunga,tamalate,TK,adult,PR,R2,-5.1661576,119.3917443,7
Friday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112,8
Tuesday,Morning,pengayoman,panakukang,TL,NOV,NOV,R2,-5.1581728,119.44619225187714,4
Wednesday,Night,abu bakar lambogo,makassar,TL,NOV,NOV,R2,-5.1444266,119.4314297,10
Thursday,Afternoon,veteran utara,makassar,TL,NOV,NOV,R2,-5.1407973,119.4239945,10
Saturday,Afternoon,perintis kemerdekaan,tamalanrea,TK,adolescent,PR,R2,-5.1257155,119.5040112,0
Saturday,Afternoon,nipa-nipa,manggala,TK,adult,LK,R2,-5.1624763,119.5003181,7
Monday,Afternoon,metro tanjung bunga,tamalate,T,adult,LK,R2,-5.1661576,119.3917443,7
Sunday,Afternoon,tinumbu,bontoala,TL,NOV,NOV,R2,-5.126371,119.418844,10
Monday,Evening,teuku umar,tallo,TL,NOV,NOV,R2,-5.1139854,119.4352107,10
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R2,-5.1257155,119.5040112,4
Friday,Morning,sungai saddang,makassar,TK,adolescent,PR,R2,-5.1468498,119.4249901,1
Sunday,Afternoon,tamangapa raya,manggala,TK,adolescent,LK,R2,-5.1767373,119.4843844,11
Wednesday,Afternoon,kumala,tamalate,TL,NOV,NOV,R4,-5.169866,119.4189942,2
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112,1
Wednesday,Night,perintis kemerdekaan,tamalanrea,TK,adult,LK,R4,-5.1257155,119.5040112,3
Tuesday,Morning,perintis kemerdekaan,biringkanaya,T,adolescent,PR,R2,-5.0934582,119.5134093,1
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112,1
Tuesday,Morning,veteran selatan,mamajang,TK,adolescent,LK,R2,-5.1671547,119.419923,5
Thursday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adolescent,PR,R2,-5.0934582,119.5134093,0
Saturday,Morning,gunung bawakaraeng,ujung pandang,TL,NOV,NOV,R2,-5.1356777,119.415913,4
Friday,Evening,muh tahir,tamalate,TK,adult,PR,R2,-5.1755446,119.4173674,7
Tuesday,Morning,veteran utara,bontoala,TM,adult,LK,R2,-5.1407973,119.4239945,8
Wednesday,Night,dangko,tamalate,TL,NOV,NOV,R4,-5.1819016,119.4145136,2
Wednesday,Night,singa,mamajang,T,adult,PR,R2,-5.1586101,119.4195207,6
Saturday,Morning,tamangapa raya,manggala,TK,adult,LK,R4,-5.1767373,119.4843844,3
Sunday,Afternoon,m.jufri,tallo,TM,adult,LK,R2,-5.1272773,119.4359672,7
Monday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,8
Saturday,Night,serigala,mamajang,TL,NOV,NOV,R4,-5.1607129,119.4210329,2
Monday,Afternoon,perintis kemerdekaan,biringkanaya,TK,adult,LK,R6,-5.0934582,119.5134093,3
Sunday,Afternoon,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0934582,119.5134093,2
Tuesday,Night,dg.tata 1,tamalate,TK,adolescent,LK,R2,-5.1793833,119.4244824,11
Thursday,Afternoon,perintis kemerdekaan,tamalanrea,T,adolescent,LK,R2,-5.1257155,119.5040112,0
Thursday,Evening,gunung bawakaraeng,ujung pandang,TK,adolescent,PR,R2,-5.1356777,119.415913,0
